name, artist, album, genre, played
"Bach: Cello Suite #1 In G, BWV 1007 - 3. Courante",Pierre Fournier,Bach: Cello Suites [Disc 1],Other Classical,32
Gymnopedie For Piano No.1,Satie,The Most Relaxing Classical Album In The World Ever,Classical,32
Polovtsian Dances from Prince Igor - Polovtsian Dances and Chorus,陸上自衛隊中央音楽隊,New Arrangement Collection VOL.5,Classical,32
Lorde - Royals,,,,32
Something Just Like This,The Chainsmokers & Coldplay,Memories...Do Not Open,Dance,31
Fun (feat. Tove Lo),Coldplay,A Head Full of Dreams,Alternative,31
Can't Help Falling In Love,Elvis Presley,The Essential Elvis Presley (Remastered),Rock,31
Friction,Imagine Dragons,Smoke + Mirrors,Alternative,31
Manappenin Sathiyam-StarMusiQ.Com,Latha Rajinikanth,Kochadaiyaan,StarMusiQ.Com,31
To Zanarkand,"Nobuo Uematsu, Aki Kuroda",FF X Piano Collection,Game,31
All Of Me,The Piano Guys,The Piano Guys Youtube Hits Vol. 1,Classical Crossover,31
Lay It All On Me (feat. Ed Sheeran),Rudimental,We the Generation (Deluxe Edition),Dance,31
Anbey,Sadhana Sargam,Rythm,A.R.Rahman - Tamil,31
Mitwa,"Udit Narayan, Alka Yagnik, Sukhwindher Singh",Lagaan,A.R.Rahman - Hindi,31
Ed Sheeran - Thinking Out Loud [Official Video],,,,31
Ladio,A. R. Rahman & Nikita Gandhi,I (Original Motion Picture Soundtrack),Tamil,30
Naina Milaike,A.R.Rahman,Saathiya,A.R.Rahman - Hindi,30
Neeyum Naanum [HqMp3Songs.Com],Anirudh Ravichander & Neeti Mohan,Naanum Rowdy Dhaan (2015),Tamil,30
A Head Full of Dreams,Coldplay,A Head Full of Dreams,Alternative,30
Coming Over (feat. James Hersey) [Tiësto Remix],Dillon Francis & Kygo,Coming Over (feat. James Hersey) [Remixes] - EP,Dance,30
Bernstein: West Side Story Suite - Something's Coming,Eric Crees: Philip Jones Brass Ensemble,Brass Band Spectacular,Other Classical,30
Track 1,M L vasanthakumari,Thiruppavai Vol 2,Genre,30
Track 10,M L vasanthakumari,Thiruppavai Vol 2,Genre,30
Track 04,M S Subbulakshmi,The Golden Collection - MS Vol 1,Carnatic,30
"Suite bergamasque: 3rd movement, Clair de Lune",Moura Lympany,The Most Relaxing Piano Album In The World...ever! CD 2,Classical,30
Besaid Island,"Nobuo Uematsu, Aki Kuroda",FF X Piano Collection,Game,30
Cheap Thrills,Sia,This Is Acting,Pop,30
Nahin Samne Tu,Sukhwindher Singh,Taal,A.R.Rahman - Hindi,30
Ghanan Ghanan,"Udit Narayan, Alka Yagnik, Sukhwindher Singh, Shan",Lagaan,A.R.Rahman - Hindi,30
Remember the scene,Yiruma,Missing You,New Age,30
